school,encoded_field_sum,end_year,user_month,video_count,exercise_count,chapter_count,user_past_course_count,user_time_since_last_course,num_prerequisites,certificate,assignment,video,exam,duration_days,remaining_time,combined_emb_0,combined_emb_1,combined_emb_2,combined_emb_3,combined_emb_4,combined_emb_5,combined_emb_6,combined_emb_7,combined_emb_8,combined_emb_9,combined_emb_10,combined_emb_11,combined_emb_12,combined_emb_13,combined_emb_14,combined_emb_15,entropy_time_comment_phase1,exercise_id_count_1,exercise_correct_sum_1,exercise_correct_mean_1,exercise_num_problem_sum_1,exercise_attempts_sum_mean_1,exercise_context_sum_1,exercise_langugage_binary_mean_1,exercise_diff_mean_1,exercise_perc_real_completed_mean_1,exercise_perc_real_score_mean_1,exercise_hour_entropy_1,video_watched_percentage_1,video_percentage_watch_time_1,video_pause_count_1,video_time_between_views_std_1,video_speed_avg_1,total_words_phase1,total_positive1,total_negative1,total_neutral1
4.0,66,2020.0,3.0,20,14,8,0,0.0,2,1.0,55.0,10.0,35.0,111.0,47,-1.7133484,-2.853053,0.5521329,2.8512256,0.8324124,0.29153094,8.088814,-3.3244002,-0.30391997,4.0876427,-2.1837502,0.66207665,2.1666613,-2.3690853,-2.6554825,1.5460875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,66,2020.0,3.0,20,14,8,0,0.0,2,1.0,55.0,10.0,35.0,111.0,48,-1.7417552,-2.847579,0.54970556,2.8519096,0.8651135,0.2406432,8.092618,-3.2804382,-0.25510645,4.0766206,-2.1970038,0.63365763,2.1951227,-2.3805008,-2.7381988,1.5319057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422.0,112,2020.0,1.0,99,12,14,1,1560.0,0,1.0,80.0,20.0,0.0,169.0,44,-1.4600586,0.5244784,1.6518016,-1.3632374,3.6175046,1.8539594,5.7488446,-3.5412278,0.9565856,2.2368488,-2.842582,-0.97441494,-2.7547116,-1.4264195,-2.0297437,-1.9492326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422.0,112,2020.0,1.0,99,12,14,2,1200.0,0,1.0,80.0,20.0,0.0,169.0,39,-1.4179204,0.47376567,1.6185448,-1.3255756,3.604448,1.919544,5.613386,-3.5566306,0.86396027,2.3805938,-2.8091812,-1.0212009,-2.8792791,-1.3787713,-2.1185644,-2.041122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,69,2020.0,2.0,44,21,9,0,0.0,1,1.0,40.0,60.0,0.0,92.0,36,1.5437269,-2.9796624,4.154165,1.3646847,-1.0017581,2.5686698,4.698333,-2.1531854,-1.7409415,-0.99111307,-3.3430736,1.0246127,-0.63780093,2.7701783,-0.008445477,-0.8849423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,31,2019.0,10.0,61,44,8,0,0.0,0,1.0,60.0,40.0,0.0,82.0,50,0.8046917,1.9358377,0.72230506,-0.41007224,-0.6847219,1.7210748,5.1982603,-2.1912699,-0.7190734,-0.5722481,-0.37553784,3.5872195,-1.0982403,-0.43788195,-0.08350328,-1.3257397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
345.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,104,0.21208824,-5.287632,2.83618,-2.048637,0.29172057,1.9736922,2.6421165,-0.23256686,-2.8178864,-2.2734056,-3.358509,4.5805516,2.222546,-1.8354309,1.096097,-0.62375796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,104,0.04843241,-5.319007,2.855735,-2.0473156,0.3203449,1.9291306,2.64824,-0.34968412,-2.9340844,-2.4145627,-3.3698812,4.5766478,2.1950684,-1.8901894,0.97353524,-0.5960616,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0
345.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,104,0.14664568,-5.2195854,2.7647777,-2.050053,0.3070651,1.946753,2.7311678,-0.30392158,-2.9214118,-2.4093647,-3.3094196,4.584569,2.1386058,-1.8255643,1.0418794,-0.5795149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,104,0.18325588,-5.270789,2.788063,-2.1534023,0.29739824,2.0323806,2.6493359,-0.287468,-2.9700842,-2.3803267,-3.3869357,4.549528,2.1808484,-1.909258,1.0956745,-0.5861689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
